Student,Semester,Math,Physics,Chemistry,Biology,English
Mrs. Amber Collins MD,Semester 8,84.0,,,79.0,30.0
Mrs. Amber Collins MD,Semester 4,91.0,33.0,100.0,70.0,
Mrs. Amber Collins MD,Semester 1,87.0,82.0,,72.0,
Mrs. Amber Collins MD,Semester 5,,57.0,88.0,50.0,
Mrs. Amber Collins MD,Semester 7,86.0,53.0,,,
Tyler Campbell,Semester 1,55.0,68.0,,,36.0
Tyler Campbell,Semester 6,30.0,,52.0,,70.0
Tyler Campbell,Semester 2,,30.0,31.0,,
Tyler Campbell,Semester 7,99.0,,,,63.0
Tyler Campbell,Semester 8,53.0,92.0,,,43.0
Tyler Campbell,Semester 3,93.0,,53.0,63.0,
Tyler Campbell,Semester 4,47.0,,,56.0,54.0
Tyler Campbell,Semester 5,58.0,80.0,,88.0,72.0
Brenda White,Semester 8,85.0,58.0,,,
Brenda White,Semester 6,36.0,,51.0,52.0,
Brenda White,Semester 1,,,41.0,88.0,
Brenda White,Semester 4,42.0,68.0,,,46.0
Brenda White,Semester 2,40.0,59.0,59.0,,
Brenda White,Semester 3,69.0,,,31.0,
Brenda White,Semester 5,71.0,55.0,90.0,,
Melody Rios,Semester 2,58.0,,,,
Melody Rios,Semester 7,62.0,,61.0,,
Melody Rios,Semester 1,53.0,,,70.0,
Melody Rios,Semester 8,34.0,59.0,,,45.0
Melody Rios,Semester 4,,,77.0,,57.0
Melody Rios,Semester 3,35.0,68.0,90.0,52.0,65.0
Adrian Mcbride,Semester 4,50.0,,,,
Adrian Mcbride,Semester 3,81.0,,,38.0,
Adrian Mcbride,Semester 5,,52.0,,,85.0
Adrian Mcbride,Semester 6,52.0,,,,
Adrian Mcbride,Semester 8,53.0,39.0,57.0,,51.0
Nicole Fisher,Semester 2,,72.0,,,
Nicole Fisher,Semester 7,79.0,,54.0,,
Nicole Fisher,Semester 8,,57.0,,,69.0
Nicole Fisher,Semester 1,,,30.0,,39.0
Glenn Adams,Semester 4,75.0,,71.0,,
Glenn Adams,Semester 6,,,38.0,,
Glenn Adams,Semester 8,60.0,38.0,,,
Timothy Thompson,Semester 6,68.0,52.0,59.0,,59.0
Timothy Thompson,Semester 5,80.0,,91.0,82.0,36.0
Timothy Thompson,Semester 7,,87.0,99.0,79.0,87.0
Timothy Thompson,Semester 4,47.0,,93.0,97.0,
Timothy Thompson,Semester 3,39.0,,41.0,33.0,
Timothy Thompson,Semester 2,91.0,,,,
Timothy Thompson,Semester 8,,,90.0,48.0,55.0
Emily Smith,Semester 3,,,80.0,87.0,
Brittany Lopez,Semester 3,,,42.0,79.0,93.0
Brittany Lopez,Semester 2,,68.0,,,50.0
Brittany Lopez,Semester 7,73.0,62.0,,93.0,91.0
Brittany Lopez,Semester 4,92.0,,,51.0,
Brittany Lopez,Semester 5,61.0,,,,
Brittany Lopez,Semester 6,,63.0,,62.0,46.0
Brittany Lopez,Semester 1,,,,,
Brittany Lopez,Semester 8,,56.0,,79.0,
Nicholas King,Semester 3,,91.0,,78.0,55.0
Nicholas King,Semester 6,60.0,,,82.0,66.0
Nicholas King,Semester 7,,,,70.0,
Nicholas King,Semester 1,,,50.0,86.0,85.0
Nicholas King,Semester 2,99.0,,77.0,40.0,
Nicholas King,Semester 4,77.0,,80.0,89.0,
Nicholas King,Semester 8,,37.0,,46.0,
Nicholas King,Semester 5,57.0,,,,91.0
Nichole Smith,Semester 7,,53.0,,74.0,
Nichole Smith,Semester 1,69.0,,,69.0,63.0
Nichole Smith,Semester 6,,,43.0,61.0,52.0
Nichole Smith,Semester 2,95.0,34.0,,96.0,66.0
Nichole Smith,Semester 8,,,,54.0,41.0
Nichole Smith,Semester 4,88.0,,99.0,,53.0
Nichole Smith,Semester 3,,72.0,,34.0,59.0
Anthony Brock,Semester 8,,49.0,79.0,,94.0
Anthony Brock,Semester 4,,,31.0,49.0,
Anthony Brock,Semester 1,,,,92.0,
Anthony Brock,Semester 5,42.0,,99.0,,
Anthony Brock,Semester 2,47.0,91.0,66.0,33.0,92.0
Anthony Brock,Semester 7,,79.0,60.0,74.0,38.0
Anthony Brock,Semester 6,49.0,,,63.0,
Rebecca Day,Semester 7,,68.0,,,
Rebecca Day,Semester 6,,,93.0,,
Rebecca Day,Semester 4,,87.0,,83.0,
Richard Santana,Semester 1,,,99.0,,
Richard Santana,Semester 8,97.0,,66.0,100.0,56.0
Richard Santana,Semester 4,78.0,86.0,,97.0,41.0
Richard Santana,Semester 6,,73.0,,82.0,57.0
Richard Santana,Semester 5,79.0,,94.0,83.0,71.0
Jennifer Nelson,Semester 8,75.0,,88.0,31.0,93.0
Jennifer Nelson,Semester 1,66.0,67.0,82.0,59.0,
Jennifer Nelson,Semester 5,,96.0,59.0,,
Jennifer Nelson,Semester 2,65.0,75.0,45.0,43.0,
Jennifer Nelson,Semester 7,,,53.0,,
Jennifer Nelson,Semester 4,,50.0,41.0,,
Jennifer Nelson,Semester 3,68.0,84.0,,97.0,
Jennifer Nelson,Semester 6,59.0,,71.0,55.0,31.0
Joseph Tapia,Semester 8,97.0,98.0,,,75.0
Joseph Tapia,Semester 6,,,,,40.0
Joseph Tapia,Semester 4,97.0,52.0,,,
Joseph Tapia,Semester 7,,63.0,,95.0,60.0
Joseph Tapia,Semester 3,,,,,
Joseph Tapia,Semester 5,,,,36.0,
Joseph Tapia,Semester 1,30.0,,,87.0,32.0
Christian Williams,Semester 7,42.0,86.0,36.0,83.0,
Christian Williams,Semester 8,,30.0,,62.0,
Christian Williams,Semester 1,38.0,45.0,41.0,63.0,
Christian Williams,Semester 3,,57.0,,,
Christian Williams,Semester 5,48.0,,73.0,78.0,
Christian Williams,Semester 4,97.0,65.0,,46.0,
Christian Williams,Semester 2,,46.0,,68.0,42.0
Michelle Fields,Semester 6,84.0,,49.0,89.0,
Michelle Fields,Semester 5,88.0,47.0,58.0,,
Michelle Fields,Semester 1,,46.0,90.0,,72.0
Michelle Fields,Semester 3,40.0,39.0,49.0,95.0,47.0
Shelby Mccoy,Semester 5,31.0,,74.0,87.0,57.0
Shelby Mccoy,Semester 1,,69.0,76.0,,
Shelby Mccoy,Semester 4,81.0,,,83.0,68.0
Shelby Mccoy,Semester 8,75.0,,73.0,84.0,99.0
Shelby Mccoy,Semester 6,,,38.0,,
Shelby Mccoy,Semester 3,92.0,,,,84.0
Shelby Mccoy,Semester 2,,,,91.0,40.0
Linda Silva,Semester 4,,34.0,61.0,62.0,
Linda Silva,Semester 8,30.0,90.0,86.0,,
Linda Silva,Semester 7,65.0,87.0,,,66.0
Linda Silva,Semester 5,54.0,82.0,,58.0,80.0
Linda Silva,Semester 6,,,,96.0,
Linda Silva,Semester 3,,91.0,78.0,,93.0
Linda Silva,Semester 1,,83.0,,,82.0
Linda Silva,Semester 2,45.0,96.0,,95.0,
Mariah Waters,Semester 5,97.0,,62.0,,
Mariah Waters,Semester 3,70.0,,,,
Mariah Waters,Semester 4,,62.0,,,
Mariah Waters,Semester 8,,,,60.0,
Mariah Waters,Semester 7,,,,,81.0
Jordan Petty,Semester 2,68.0,,,48.0,
Jordan Petty,Semester 4,,75.0,58.0,65.0,92.0
Jordan Petty,Semester 6,51.0,,61.0,93.0,42.0
Jordan Petty,Semester 5,,87.0,65.0,92.0,
Jordan Petty,Semester 7,,61.0,,97.0,
Jordan Petty,Semester 1,,,,,55.0
Jordan Petty,Semester 8,,62.0,,,
Jordan Petty,Semester 3,,93.0,,,33.0
Jamie Brown,Semester 3,91.0,,,48.0,76.0
Jamie Brown,Semester 2,,,,,
Melissa Hutchinson,Semester 4,86.0,35.0,,,
Melissa Hutchinson,Semester 8,,,83.0,78.0,
Melissa Hutchinson,Semester 1,40.0,95.0,79.0,97.0,73.0
Melissa Hutchinson,Semester 3,74.0,63.0,78.0,,85.0
Melissa Hutchinson,Semester 2,,,,73.0,
Melissa Hutchinson,Semester 7,,,68.0,,86.0
Ellen Hernandez,Semester 2,,,87.0,31.0,68.0
Ellen Hernandez,Semester 3,,,74.0,30.0,99.0
Ellen Hernandez,Semester 5,31.0,,,,
Ellen Hernandez,Semester 1,,,84.0,,
Ellen Hernandez,Semester 6,58.0,64.0,,,98.0
Ellen Hernandez,Semester 8,,96.0,,31.0,
Ellen Hernandez,Semester 4,75.0,,69.0,73.0,
Ellen Hernandez,Semester 7,83.0,42.0,37.0,67.0,
Tammy Armstrong,Semester 2,77.0,53.0,40.0,55.0,
Tammy Armstrong,Semester 1,,,78.0,,31.0
Tammy Armstrong,Semester 4,,72.0,55.0,88.0,57.0
Tammy Armstrong,Semester 6,,,86.0,48.0,73.0
Tammy Armstrong,Semester 7,,41.0,68.0,,
Tammy Armstrong,Semester 8,,,40.0,,65.0
Tammy Armstrong,Semester 3,30.0,49.0,,,
Amy Neal,Semester 5,34.0,,,61.0,
Amy Neal,Semester 7,,,35.0,43.0,52.0
Amy Neal,Semester 2,,,59.0,53.0,
Amy Neal,Semester 3,,73.0,,,
Robert Eaton,Semester 8,,,,,67.0
Robert Eaton,Semester 6,34.0,89.0,76.0,,
Robert Eaton,Semester 1,,,44.0,,51.0
Robert Eaton,Semester 3,40.0,,65.0,,45.0
Robert Eaton,Semester 2,92.0,50.0,,46.0,
Robert Eaton,Semester 7,,91.0,,,
Robert Eaton,Semester 4,,86.0,,,
Robert Eaton,Semester 5,,96.0,95.0,98.0,
Allison Ramsey,Semester 5,38.0,32.0,,,
Allison Ramsey,Semester 3,,43.0,55.0,45.0,88.0
Allison Ramsey,Semester 7,81.0,,40.0,,75.0
Allison Ramsey,Semester 4,96.0,62.0,92.0,,62.0
Allison Ramsey,Semester 2,,31.0,,50.0,36.0
Allison Ramsey,Semester 6,35.0,39.0,,68.0,45.0
Allison Ramsey,Semester 8,,,64.0,73.0,81.0
Allison Ramsey,Semester 1,,49.0,94.0,49.0,74.0
Mikayla Sanders,Semester 2,41.0,,,56.0,96.0
Margaret Matthews,Semester 8,,,70.0,36.0,
Margaret Matthews,Semester 5,64.0,,93.0,,90.0
Margaret Matthews,Semester 2,65.0,68.0,,,79.0
Margaret Matthews,Semester 6,,77.0,65.0,,
Mr. John Gomez DDS,Semester 8,56.0,61.0,,59.0,76.0
Daniel Hernandez,Semester 7,,,35.0,45.0,34.0
Daniel Hernandez,Semester 1,35.0,34.0,,83.0,
Daniel Hernandez,Semester 4,68.0,,,52.0,47.0
Daniel Hernandez,Semester 6,39.0,,79.0,,52.0
Daniel Hernandez,Semester 5,64.0,39.0,33.0,,90.0
Karen Jackson,Semester 4,68.0,91.0,,65.0,76.0
Karen Jackson,Semester 1,88.0,73.0,47.0,53.0,
Karen Jackson,Semester 2,,,40.0,100.0,
Karen Jackson,Semester 8,,71.0,68.0,,65.0
Dylan Cook,Semester 8,,,,78.0,45.0
Dylan Cook,Semester 1,99.0,53.0,,55.0,
Dylan Cook,Semester 3,,61.0,,,
Dylan Cook,Semester 7,,,72.0,42.0,58.0
Dylan Cook,Semester 5,,,,59.0,
Dylan Cook,Semester 6,,,41.0,87.0,
Carla Bean,Semester 6,33.0,,,,50.0
Carla Bean,Semester 4,,93.0,,89.0,
Carla Bean,Semester 2,64.0,69.0,,,93.0
Carla Bean,Semester 1,,52.0,,,
Carla Bean,Semester 8,31.0,,,,
Joseph Reeves,Semester 1,99.0,,,,
Joseph Reeves,Semester 7,,92.0,,70.0,47.0
Joseph Reeves,Semester 8,87.0,39.0,100.0,,79.0
Joseph Reeves,Semester 2,,,31.0,88.0,
Bernard Saunders,Semester 8,,,,60.0,
Bernard Saunders,Semester 3,,41.0,38.0,,
Bernard Saunders,Semester 1,,,,31.0,90.0
Bernard Saunders,Semester 2,85.0,,,95.0,
Amanda Ferguson,Semester 8,,,65.0,,
Amanda Ferguson,Semester 4,,,38.0,,71.0
Amanda Ferguson,Semester 6,43.0,67.0,,,67.0
Sean Padilla,Semester 1,,75.0,,,41.0
Sean Padilla,Semester 6,97.0,,,,
Jamie Wheeler,Semester 3,39.0,100.0,,,68.0
Jamie Wheeler,Semester 8,45.0,68.0,,92.0,
Jamie Wheeler,Semester 1,,76.0,,,
Jamie Wheeler,Semester 2,,,74.0,,
Jamie Wheeler,Semester 6,,,40.0,,
Jamie Wheeler,Semester 5,86.0,46.0,77.0,,
Christine Lloyd,Semester 7,,,32.0,,
Christine Lloyd,Semester 2,,95.0,72.0,36.0,
Tonya Harris,Semester 6,,,,49.0,
Tonya Harris,Semester 5,,55.0,63.0,45.0,
Robert Smith,Semester 1,,99.0,91.0,,
Robert Smith,Semester 4,,76.0,,70.0,
Robert Smith,Semester 2,,65.0,,,43.0
Robert Smith,Semester 6,,,,,95.0
Robert Smith,Semester 7,40.0,40.0,47.0,98.0,66.0
Robert Smith,Semester 8,,40.0,93.0,100.0,30.0
Robert Smith,Semester 5,61.0,87.0,61.0,48.0,83.0
Robert Smith,Semester 3,,59.0,72.0,40.0,
Anthony Smith,Semester 2,,,,51.0,
Anthony Smith,Semester 1,,,96.0,,
Anthony Smith,Semester 4,,42.0,,,93.0
Anthony Smith,Semester 8,37.0,,52.0,,71.0
Anthony Smith,Semester 7,,58.0,,39.0,98.0
Brenda Landry,Semester 7,84.0,61.0,,37.0,
Brenda Landry,Semester 8,83.0,88.0,,,78.0
Brenda Landry,Semester 4,,42.0,,,
Brenda Landry,Semester 3,42.0,67.0,,63.0,88.0
Jessica Flores,Semester 4,,,,,
Jessica Flores,Semester 7,,61.0,,,
Jessica Flores,Semester 1,36.0,,,63.0,44.0
Jessica Flores,Semester 8,,68.0,,,92.0
Jessica Flores,Semester 2,94.0,77.0,,64.0,
Jessica Flores,Semester 3,,82.0,,79.0,
Jessica Flores,Semester 6,95.0,61.0,79.0,93.0,
Daniel Baker,Semester 8,74.0,,,51.0,82.0
Daniel Baker,Semester 6,,88.0,59.0,83.0,
Daniel Baker,Semester 5,63.0,,54.0,33.0,96.0
Daniel Baker,Semester 7,55.0,,,,69.0
Daniel Baker,Semester 2,67.0,,,55.0,
Michelle Daniels,Semester 5,48.0,99.0,67.0,,94.0
Michelle Daniels,Semester 7,,49.0,69.0,38.0,70.0
Michelle Daniels,Semester 2,83.0,,79.0,64.0,66.0
Michelle Daniels,Semester 6,66.0,,,54.0,
Michelle Daniels,Semester 8,,50.0,76.0,,
Michelle Daniels,Semester 3,58.0,,,,79.0
Michelle Daniels,Semester 4,,,54.0,,
Richard Lewis,Semester 1,74.0,58.0,87.0,,
Richard Lewis,Semester 7,,97.0,,,
Richard Lewis,Semester 5,82.0,48.0,,38.0,74.0
Richard Lewis,Semester 8,36.0,,,53.0,
Richard Lewis,Semester 6,87.0,43.0,,67.0,
Richard Lewis,Semester 4,100.0,,63.0,63.0,35.0
Michele Brown,Semester 3,95.0,,,78.0,80.0
Michele Brown,Semester 6,,,30.0,64.0,
Michele Brown,Semester 8,97.0,,,,
Penny Ward,Semester 3,57.0,,,,
Penny Ward,Semester 8,,,,,
Penny Ward,Semester 6,60.0,,,,46.0
Penny Ward,Semester 1,76.0,83.0,,49.0,
Penny Ward,Semester 2,90.0,74.0,50.0,48.0,
Penny Ward,Semester 4,30.0,,62.0,,
Penny Ward,Semester 5,,52.0,,,
Penny Ward,Semester 7,45.0,,63.0,39.0,
Robin Pitts,Semester 5,,73.0,37.0,96.0,
Robin Pitts,Semester 7,,53.0,,,59.0
Robin Pitts,Semester 8,75.0,98.0,52.0,54.0,
Robin Pitts,Semester 3,34.0,61.0,,30.0,
Robin Pitts,Semester 4,63.0,,88.0,30.0,90.0
Miranda Nelson,Semester 7,,,,68.0,80.0
Miranda Nelson,Semester 5,,,,,71.0
Julie Stone,Semester 7,55.0,87.0,,88.0,
Julie Stone,Semester 3,39.0,66.0,63.0,95.0,97.0
Julie Stone,Semester 8,93.0,99.0,67.0,51.0,71.0
Julie Stone,Semester 6,,84.0,,74.0,
John Gonzales,Semester 1,,,,35.0,51.0
John Gonzales,Semester 3,46.0,98.0,,,
John Gonzales,Semester 7,30.0,59.0,,,
John Gonzales,Semester 8,59.0,,67.0,,
John Gonzales,Semester 6,,,34.0,,34.0
John Gonzales,Semester 2,,63.0,,89.0,50.0
Larry Myers,Semester 6,38.0,,,70.0,82.0
Larry Myers,Semester 5,90.0,,36.0,68.0,
Larry Myers,Semester 1,72.0,91.0,,,
Larry Myers,Semester 2,,,,50.0,40.0
Larry Myers,Semester 3,93.0,86.0,32.0,,
Jacob Griffin,Semester 8,,,65.0,80.0,
Sean Drake,Semester 5,74.0,86.0,42.0,71.0,
Adam Navarro,Semester 7,69.0,46.0,,,
Adam Navarro,Semester 5,,,,58.0,
Adam Navarro,Semester 3,,,83.0,77.0,43.0
Adam Navarro,Semester 1,,49.0,,46.0,
Adam Navarro,Semester 4,85.0,51.0,,,45.0
Darrell Hayes,Semester 3,82.0,92.0,51.0,50.0,
Darrell Hayes,Semester 6,,,96.0,,
Darrell Hayes,Semester 5,49.0,,34.0,46.0,31.0
Darrell Hayes,Semester 2,47.0,,99.0,91.0,43.0
Linda Salinas,Semester 5,30.0,69.0,81.0,,51.0
Jonathan Scott,Semester 1,97.0,,,,85.0
Jonathan Scott,Semester 8,,35.0,,77.0,89.0
Edward Williams,Semester 4,97.0,95.0,,,49.0
Edward Williams,Semester 8,85.0,66.0,75.0,,62.0
Edward Williams,Semester 7,59.0,77.0,49.0,97.0,
Edward Williams,Semester 3,,69.0,35.0,,
Jesus Young,Semester 7,,30.0,,,94.0
Jesus Young,Semester 5,,,59.0,32.0,89.0
Jesus Young,Semester 2,68.0,100.0,97.0,92.0,32.0
Jesus Young,Semester 3,,,90.0,,
Jesus Young,Semester 8,,,,,40.0
Jesus Young,Semester 1,,,,,81.0
Jesus Young,Semester 4,95.0,93.0,,,
Daniel Patterson,Semester 6,82.0,100.0,80.0,52.0,82.0
Aaron Villegas,Semester 7,86.0,45.0,57.0,,
Aaron Villegas,Semester 1,53.0,,,100.0,60.0
Aaron Villegas,Semester 8,,,,,
Aaron Villegas,Semester 6,73.0,,,50.0,100.0
Aaron Villegas,Semester 2,,81.0,49.0,,38.0
Thomas Lawson,Semester 6,77.0,70.0,50.0,,
Thomas Lawson,Semester 8,44.0,93.0,30.0,,96.0
Kimberly Grant,Semester 3,,,,47.0,43.0
Kimberly Grant,Semester 4,54.0,,39.0,97.0,64.0
Kimberly Grant,Semester 1,,78.0,,76.0,
Kimberly Grant,Semester 7,49.0,,45.0,52.0,61.0
Kimberly Grant,Semester 8,,44.0,37.0,,
Brian Church,Semester 1,44.0,100.0,61.0,81.0,48.0
Brian Church,Semester 5,,85.0,,,82.0
Brian Church,Semester 6,36.0,87.0,,,78.0
Brian Church,Semester 7,83.0,,100.0,36.0,
Brian Church,Semester 4,40.0,,,69.0,65.0
Brian Church,Semester 8,,,95.0,99.0,
Brian Church,Semester 3,39.0,71.0,,63.0,
Jordan Ramirez,Semester 7,39.0,57.0,,91.0,
Jordan Ramirez,Semester 3,66.0,,72.0,42.0,
Jordan Ramirez,Semester 5,,,79.0,88.0,85.0
Jordan Ramirez,Semester 1,68.0,,64.0,,30.0
Jordan Ramirez,Semester 8,41.0,,,52.0,
Jordan Ramirez,Semester 4,64.0,44.0,84.0,,
Jordan Ramirez,Semester 2,,34.0,94.0,45.0,94.0
Jennifer Hansen,Semester 7,,,52.0,54.0,54.0
Jennifer Hansen,Semester 6,,69.0,,91.0,
Jennifer Hansen,Semester 1,,,,72.0,
Jennifer Hansen,Semester 2,,,73.0,95.0,
Richard Long,Semester 2,,50.0,32.0,46.0,83.0
Richard Long,Semester 4,,,,41.0,34.0
Richard Long,Semester 8,,,67.0,98.0,
Richard Long,Semester 3,98.0,,63.0,30.0,
Earl Reynolds,Semester 3,,,,,
Earl Reynolds,Semester 6,43.0,,,60.0,86.0
Earl Reynolds,Semester 8,88.0,42.0,,92.0,49.0
Earl Reynolds,Semester 2,64.0,,,73.0,
Earl Reynolds,Semester 7,33.0,100.0,56.0,95.0,
Earl Reynolds,Semester 4,82.0,,51.0,,
Shirley Nicholson,Semester 3,90.0,62.0,,,100.0
Melissa Snyder,Semester 8,92.0,,68.0,,98.0
Melissa Snyder,Semester 2,,,80.0,68.0,54.0
Melissa Snyder,Semester 5,100.0,,97.0,84.0,
Eric Warren,Semester 4,56.0,61.0,64.0,48.0,
Eric Warren,Semester 8,44.0,71.0,,,97.0
Eric Warren,Semester 7,94.0,,92.0,,
Eric Warren,Semester 2,77.0,,43.0,,
Eric Warren,Semester 6,40.0,,76.0,,50.0
Eric Warren,Semester 3,90.0,,,,
Jessica Hernandez,Semester 7,,86.0,,,
Jessica Hernandez,Semester 4,97.0,,,,
Jessica Hernandez,Semester 6,43.0,46.0,,,
Jessica Hernandez,Semester 5,62.0,33.0,39.0,77.0,
Jessica Hernandez,Semester 2,98.0,,39.0,,84.0
Jessica Hernandez,Semester 8,,34.0,,48.0,
Kimberly Cooper,Semester 6,38.0,64.0,,,78.0
Kimberly Cooper,Semester 3,48.0,40.0,,,99.0
Kimberly Cooper,Semester 5,32.0,,,,
Kimberly Cooper,Semester 8,,,,62.0,
Kimberly Cooper,Semester 7,,,80.0,,
Kimberly Cooper,Semester 1,,73.0,,42.0,66.0
Mrs. Kathryn Wright DVM,Semester 3,81.0,39.0,,96.0,
Mrs. Kathryn Wright DVM,Semester 6,58.0,,,,
Mrs. Kathryn Wright DVM,Semester 7,41.0,,51.0,,88.0
Mrs. Kathryn Wright DVM,Semester 4,,95.0,,94.0,93.0
Mrs. Kathryn Wright DVM,Semester 2,,37.0,32.0,,66.0
Mrs. Kathryn Wright DVM,Semester 5,,46.0,42.0,,
Mrs. Kathryn Wright DVM,Semester 8,,,,33.0,54.0
Stacy Wilson,Semester 3,89.0,58.0,30.0,,39.0
Stacy Wilson,Semester 6,,,43.0,40.0,100.0
Stacy Wilson,Semester 2,37.0,,98.0,,97.0
Stacy Wilson,Semester 7,,,50.0,99.0,
Stacy Wilson,Semester 4,,,55.0,59.0,
Stacy Wilson,Semester 1,39.0,,44.0,30.0,69.0
Stacy Wilson,Semester 5,,,67.0,,80.0
Stacy Wilson,Semester 8,,88.0,42.0,,70.0
Russell Berger,Semester 6,,,90.0,,73.0
Russell Berger,Semester 1,69.0,,30.0,33.0,
Russell Berger,Semester 3,39.0,74.0,92.0,,44.0
Russell Berger,Semester 8,,,84.0,56.0,
Russell Berger,Semester 7,,,,,78.0
Jennifer Moore,Semester 8,43.0,67.0,,81.0,64.0
Jennifer Moore,Semester 3,64.0,66.0,,,
Rhonda Harris,Semester 6,59.0,37.0,,78.0,
Dawn Mason,Semester 2,,,,69.0,31.0
Dawn Mason,Semester 7,,,,,51.0
Dawn Mason,Semester 6,,,,,
Dawn Mason,Semester 5,90.0,78.0,68.0,98.0,62.0
Dawn Mason,Semester 3,35.0,86.0,91.0,,
Ashley Ayers,Semester 7,,44.0,91.0,,98.0
Eric Stewart,Semester 8,,50.0,,49.0,47.0
Eric Stewart,Semester 5,80.0,76.0,89.0,,69.0
Eric Stewart,Semester 6,35.0,80.0,59.0,50.0,48.0
Eric Stewart,Semester 4,,,30.0,,82.0
Eric Stewart,Semester 7,52.0,77.0,34.0,,64.0
Eric Stewart,Semester 2,53.0,,67.0,,33.0
Eric Stewart,Semester 3,68.0,95.0,,61.0,95.0
Jeff Ware,Semester 2,,,53.0,,
Mitchell Santiago,Semester 5,,,89.0,,65.0
Anna Baker,Semester 2,48.0,,71.0,31.0,35.0
Anna Baker,Semester 8,57.0,51.0,,,
Anna Baker,Semester 7,79.0,69.0,99.0,57.0,94.0
Anna Baker,Semester 3,,45.0,,67.0,
Anna Baker,Semester 5,,37.0,,83.0,91.0
Anna Baker,Semester 4,45.0,,74.0,,94.0
Anna Baker,Semester 1,60.0,,35.0,100.0,44.0
Anna Baker,Semester 6,,46.0,43.0,,38.0
Jeffrey Hammond,Semester 8,,40.0,,61.0,
Jeffrey Hammond,Semester 5,56.0,,,52.0,
Jeffrey Hammond,Semester 4,97.0,84.0,,,
Jeffrey Hammond,Semester 7,92.0,,,37.0,
Jeffrey Hammond,Semester 1,,95.0,,95.0,
Jeffrey Hammond,Semester 6,95.0,75.0,53.0,95.0,67.0
Daniel Riddle,Semester 3,,,45.0,,75.0
Daniel Riddle,Semester 2,,,99.0,,85.0
Daniel Riddle,Semester 7,79.0,,,57.0,
Daniel Riddle,Semester 8,,71.0,72.0,76.0,
Daniel Riddle,Semester 5,,,,93.0,55.0
Daniel Riddle,Semester 1,84.0,,76.0,54.0,
Diane Coleman,Semester 2,,61.0,,,
Diane Coleman,Semester 6,,84.0,100.0,54.0,
Diane Coleman,Semester 1,61.0,,,,
Diane Coleman,Semester 4,,33.0,35.0,57.0,87.0
Douglas Peterson,Semester 2,,74.0,,81.0,72.0
Douglas Peterson,Semester 4,48.0,91.0,,,85.0
Douglas Peterson,Semester 8,,61.0,97.0,51.0,
Douglas Peterson,Semester 7,,74.0,,,
Douglas Peterson,Semester 1,,,100.0,,
Charles Cole,Semester 4,69.0,,87.0,,
Charles Cole,Semester 2,,,,,
Charles Cole,Semester 5,,98.0,,,
Charles Cole,Semester 3,,36.0,,,
Charles Cole,Semester 8,75.0,,,75.0,69.0
Charles Cole,Semester 6,91.0,,83.0,31.0,50.0
Charles Cole,Semester 1,,,,56.0,45.0
Tracy Lane,Semester 2,,,,43.0,
Tracey Walker,Semester 3,,,,37.0,54.0
Gregory Mitchell,Semester 6,,,95.0,,84.0
Gregory Mitchell,Semester 8,,95.0,,90.0,78.0
Gregory Mitchell,Semester 7,43.0,81.0,63.0,93.0,66.0
Gregory Mitchell,Semester 4,68.0,,,,35.0
Gregory Mitchell,Semester 5,33.0,,,,62.0
Gregory Mitchell,Semester 2,,77.0,30.0,92.0,
Gregory Mitchell,Semester 1,55.0,,83.0,,71.0
Stephanie Shepherd,Semester 4,,68.0,,91.0,
Christine Sims,Semester 5,79.0,62.0,,70.0,35.0
Christine Sims,Semester 1,72.0,51.0,,,40.0
Christine Sims,Semester 6,,48.0,,,
Christine Sims,Semester 8,73.0,,81.0,,
Christine Sims,Semester 3,,,,,
John Humphrey,Semester 5,75.0,,,59.0,
John Humphrey,Semester 6,87.0,,90.0,,63.0
John Humphrey,Semester 2,58.0,,73.0,85.0,
John Humphrey,Semester 1,58.0,48.0,88.0,61.0,
John Humphrey,Semester 3,,82.0,,90.0,
John Humphrey,Semester 4,100.0,,60.0,62.0,45.0
Robert Clark DDS,Semester 3,,,,61.0,
Brooke Melendez,Semester 1,61.0,,69.0,,
Brooke Melendez,Semester 2,47.0,92.0,,,39.0
Brooke Melendez,Semester 7,,42.0,90.0,,97.0
Brooke Melendez,Semester 4,,52.0,80.0,,63.0
Brooke Melendez,Semester 3,39.0,,,61.0,
Brooke Melendez,Semester 5,49.0,,100.0,,
Brooke Melendez,Semester 8,74.0,44.0,,,63.0
Brooke Melendez,Semester 6,,,,,
Jessica Green,Semester 7,95.0,,87.0,70.0,34.0
Jessica Green,Semester 5,,,,,93.0
Jessica Green,Semester 2,,,,87.0,75.0
Jessica Green,Semester 6,46.0,,,,
Jessica Green,Semester 1,66.0,,98.0,,
Jessica Green,Semester 8,,40.0,,,70.0
Jessica Green,Semester 3,,,73.0,,
Jessica Green,Semester 4,,,,79.0,
Tina Norman,Semester 5,91.0,,98.0,,
Tina Norman,Semester 6,,33.0,80.0,,
Tina Norman,Semester 8,49.0,,,72.0,98.0
Tina Norman,Semester 1,37.0,36.0,,,87.0
Bianca Floyd,Semester 4,,96.0,67.0,,66.0
Bianca Floyd,Semester 8,,,,,
Bianca Floyd,Semester 6,,89.0,83.0,50.0,
Bianca Floyd,Semester 2,,30.0,,,
Bianca Floyd,Semester 5,62.0,,,,70.0
Karen Rogers,Semester 4,,81.0,,87.0,66.0
Matthew Bruce,Semester 6,,62.0,,,73.0
